target,policy,chunk_size,num_threads,ranges,run1,run2,run3
collatz_par,d,5000,4,1-1000 50000000-100000000 1000000000-1100000000,16.3132,16.3544,16.3587
collatz_par,d,5000,8,1-1000 50000000-100000000 1000000000-1100000000,8.36297,8.36462,8.36327
collatz_par,d,5000,16,1-1000 50000000-100000000 1000000000-1100000000,4.18579,4.18686,4.18691
collatz_par,d,5000,32,1-1000 50000000-100000000 1000000000-1100000000,2.72986,2.73189,2.73016
collatz_par,d,5000,40,1-1000 50000000-100000000 1000000000-1100000000,2.73427,2.73425,2.7358
collatz_par,d,8,32,1-1000 50000000-100000000 1000000000-1100000000,9.14266,8.52185,6.62923
collatz_par,d,32,32,1-1000 50000000-100000000 1000000000-1100000000,2.88282,2.99649,2.88186
collatz_par,d,512,32,1-1000 50000000-100000000 1000000000-1100000000,2.73132,2.73161,2.72981
collatz_par,d,1024,32,1-1000 50000000-100000000 1000000000-1100000000,2.72812,2.727,2.72717
collatz_par,d,5000,32,1-1000 50000000-100000000 1000000000-1100000000,2.73163,2.73123,2.73033
collatz_par,d,10000,32,1-1000 50000000-100000000 1000000000-1100000000,2.73656,2.73488,2.73685
collatz_par,d,8,4,1-1000 50000000-100000000 1000000000-1100000000,18.3975,18.0772,18.1408
collatz_par,d,32,8,1-1000 50000000-100000000 1000000000-1100000000,8.87917,8.82606,8.84577
collatz_par,d,512,16,1-1000 50000000-100000000 1000000000-1100000000,4.22954,4.2313,4.2315
collatz_par,d,1024,16,1-1000 50000000-100000000 1000000000-1100000000,4.2073,4.20772,4.20809
collatz_par,d,10000,40,1-1000 50000000-100000000 1000000000-1100000000,2.73809,2.74281,2.73931
collatz_par,d,10000,16,1-1000 50000000-100000000 1000000000-1100000000,4.18447,4.18404,4.18447
collatz_par,d,512,8,1-1000 50000000-100000000 1000000000-1100000000,8.44171,8.44234,8.44705
collatz_par,s,5000,4,1-1000 50000000-100000000 1000000000-1100000000,15.3532,15.3461,14.9727
collatz_par,s,5000,8,1-1000 50000000-100000000 1000000000-1100000000,7.71062,7.71212,7.71
collatz_par,s,5000,16,1-1000 50000000-100000000 1000000000-1100000000,3.86896,3.86335,3.86581
collatz_par,s,5000,32,1-1000 50000000-100000000 1000000000-1100000000,2.78064,2.78117,2.78322
collatz_par,s,5000,40,1-1000 50000000-100000000 1000000000-1100000000,3.32514,3.31213,3.37012
collatz_par,s,8,32,1-1000 50000000-100000000 1000000000-1100000000,3.3713,3.35487,3.35335
collatz_par,s,32,32,1-1000 50000000-100000000 1000000000-1100000000,3.13333,3.14751,3.14206
collatz_par,s,512,32,1-1000 50000000-100000000 1000000000-1100000000,2.81494,2.81478,2.8155
collatz_par,s,1024,32,1-1000 50000000-100000000 1000000000-1100000000,2.8007,2.80078,2.79996
collatz_par,s,5000,32,1-1000 50000000-100000000 1000000000-1100000000,2.78188,2.78259,2.78099
collatz_par,s,10000,32,1-1000 50000000-100000000 1000000000-1100000000,2.78608,2.78333,2.78365
collatz_par,s,8,4,1-1000 50000000-100000000 1000000000-1100000000,16.5182,17.1347,16.5032
collatz_par,s,32,8,1-1000 50000000-100000000 1000000000-1100000000,8.65174,8.63161,8.64733
collatz_par,s,512,16,1-1000 50000000-100000000 1000000000-1100000000,3.92512,3.92442,3.97977
collatz_par,s,1024,16,1-1000 50000000-100000000 1000000000-1100000000,3.89985,3.89812,3.89875
collatz_par,s,10000,40,1-1000 50000000-100000000 1000000000-1100000000,3.33882,3.3129,3.2264
collatz_par,s,10000,16,1-1000 50000000-100000000 1000000000-1100000000,3.86779,3.87132,3.86719
collatz_par,s,512,8,1-1000 50000000-100000000 1000000000-1100000000,7.81309,7.82202,7.81314
collatz_par,t,5000,4,1-1000 50000000-100000000 1000000000-1100000000,16.9174,16.7506,17.103
collatz_par,t,5000,8,1-1000 50000000-100000000 1000000000-1100000000,8.54611,8.54613,8.54704
collatz_par,t,5000,16,1-1000 50000000-100000000 1000000000-1100000000,4.29704,4.38088,4.39077
collatz_par,t,5000,32,1-1000 50000000-100000000 1000000000-1100000000,2.78379,2.78341,2.78421
collatz_par,t,5000,40,1-1000 50000000-100000000 1000000000-1100000000,2.7784,2.77832,2.7797
collatz_par,t,8,32,1-1000 50000000-100000000 1000000000-1100000000,71.5958,71.137,71.1303
collatz_par,t,32,32,1-1000 50000000-100000000 1000000000-1100000000,18.0563,18.1571,18.2257
collatz_par,t,512,32,1-1000 50000000-100000000 1000000000-1100000000,2.87678,2.87953,2.87911
collatz_par,t,1024,32,1-1000 50000000-100000000 1000000000-1100000000,2.83551,2.84152,2.83851
collatz_par,t,5000,32,1-1000 50000000-100000000 1000000000-1100000000,2.78351,2.78472,2.78287
collatz_par,t,10000,32,1-1000 50000000-100000000 1000000000-1100000000,2.78271,2.78396,2.78706
collatz_par,t,8,4,1-1000 50000000-100000000 1000000000-1100000000,46.5988,43.8256,45.0924
collatz_par,t,32,8,1-1000 50000000-100000000 1000000000-1100000000,12.7272,12.7332,12.6446
collatz_par,t,512,16,1-1000 50000000-100000000 1000000000-1100000000,4.45496,4.44456,4.45367
collatz_par,t,1024,16,1-1000 50000000-100000000 1000000000-1100000000,4.49437,4.47383,4.49303
collatz_par,t,10000,40,1-1000 50000000-100000000 1000000000-1100000000,2.78125,2.78264,2.78593
collatz_par,t,10000,16,1-1000 50000000-100000000 1000000000-1100000000,4.42424,4.35532,4.3958
collatz_par,t,512,8,1-1000 50000000-100000000 1000000000-1100000000,8.76386,8.79361,8.77868
collatz_seq,none,none,none,1-1000 50000000-100000000 1000000000-1100000000,56.8931,57.5373,56.8814
