target,num_threads,dataset_size,time1,time2
ff_merge_sort,2,10K,0.000777558,0.000708863
ff_merge_sort,4,10K,0.00080818,0.000953457
ff_merge_sort,8,10K,0.00126861,0.00132258
ff_merge_sort,16,10K,0.00225411,0.00219807
ff_merge_sort,32,10K,0.00385201,0.00423032
std_sort,1,10K,0.000653166,0.000668929
ff_merge_sort,2,100K,0.00547395,0.00528527
ff_merge_sort,4,100K,0.0040382,0.00415
ff_merge_sort,8,100K,0.004362,0.00409744
ff_merge_sort,16,100K,0.00461957,0.00463698
ff_merge_sort,32,100K,0.0063461,0.00678592
std_sort,1,100K,0.00791679,0.00787179
ff_merge_sort,2,1M,0.0532867,0.0533088
ff_merge_sort,4,1M,0.0361234,0.0360565
ff_merge_sort,8,1M,0.0305626,0.0286539
ff_merge_sort,16,1M,0.0261932,0.0275601
ff_merge_sort,32,1M,0.0294601,0.0291946
std_sort,1,1M,0.0823917,0.0824839
ff_merge_sort,2,50M,2.67792,2.77725
ff_merge_sort,4,50M,1.70802,1.76012
ff_merge_sort,8,50M,1.26524,1.29128
ff_merge_sort,16,50M,1.08707,1.08994
ff_merge_sort,32,50M,1.0509,1.05631
std_sort,1,50M,4.37728,4.36369
ff_merge_sort,2,300M,16.3145,17.0973
ff_merge_sort,4,300M,10.3693,10.7498
ff_merge_sort,8,300M,7.76953,7.98241
ff_merge_sort,16,300M,6.56784,6.68999
ff_merge_sort,32,300M,6.55629,6.3449
std_sort,1,300M,26.9697,26.8305
