target,num_nodes,num_processes,num_ff_threads,size,time1,time2
mpi_merge_sort,1,1,16,10K,0.00305399,0.00286178
mpi_merge_sort,2,2,16,10K,0.00357492,0.00340288
mpi_merge_sort,4,4,16,10K,0.00380142,0.00375045
mpi_merge_sort,8,8,16,10K,0.00604303,0.00608611
mpi_merge_sort,8,16,16,10K,0.083555,0.0839706
mpi_merge_sort,8,32,16,10K,0.137699,0.130475
mpi_merge_sort,1,1,16,100K,0.00541554,0.00460454
mpi_merge_sort,2,2,16,100K,0.00726332,0.00669388
mpi_merge_sort,4,4,16,100K,0.00832234,0.00810335
mpi_merge_sort,8,8,16,100K,0.011048,0.0108465
mpi_merge_sort,8,16,16,100K,0.0883134,0.0882378
mpi_merge_sort,8,32,16,100K,0.149663,0.160453
mpi_merge_sort,1,1,16,1M,0.032068,0.0322409
mpi_merge_sort,2,2,16,1M,0.0408032,0.0414963
mpi_merge_sort,4,4,16,1M,0.045986,0.0459721
mpi_merge_sort,8,8,16,1M,0.0496899,0.0503867
mpi_merge_sort,8,16,16,1M,0.12079,0.118064
mpi_merge_sort,8,32,16,1M,0.197159,0.186095
mpi_merge_sort,1,1,16,50M,1.39497,1.4512
mpi_merge_sort,2,2,16,50M,1.73422,1.72732
mpi_merge_sort,4,4,16,50M,1.89367,1.8914
mpi_merge_sort,8,8,16,50M,1.96414,1.98828
mpi_merge_sort,8,16,16,50M,1.98201,2.01974
mpi_merge_sort,8,32,16,50M,2.15095,2.23473
mpi_merge_sort,1,1,16,300M,8.50466,8.88826
mpi_merge_sort,2,2,16,300M,10.383,10.4717
mpi_merge_sort,4,4,16,300M,11.3471,11.326
mpi_merge_sort,8,8,16,300M,11.7484,11.7457
mpi_merge_sort,8,16,16,300M,11.8369,11.8553
mpi_merge_sort,8,32,16,300M,12.5475,12.8387
